Agent,0-1,0-2,0-3,0-4,1-2,1-3,1-4,2-3,2-4,3-4
1,0.4859147551,0.4276313414,0.2883935778,0.7725700254,0.4435619307,0.1017022075,0.0938223803,0.0930429127,0.809203794,0.0150924204
2,0.2841899376,0.3823038561,0.234032688,0.8451391277,0.1662203034,0.4033353508,0.3172123814,0.57879443,0.7945471124,0.2437109246
3,0.8875515098,0.0762100432,0.1453508034,0.6894199881,0.9651638425,0.4025611712,0.2267411782,0.2100777566,0.9421968865,0.1949762776
4,0.1017573476,0.7388071073,0.7403623196,0.8653898665,0.9551344786,0.1856087772,0.9800000854,0.0991469347,0.7676183044,0.3813154197
5,0.0354764475,0.8227540657,0.4019326593,0.6374089278,0.8404694672,0.8674807611,0.943481389,0.5495773656,0.4016165826,0.9161614764
6,0.9785483198,0.6553160537,0.6610579637,0.1010668925,0.4629494471,0.5789795141,0.0770516223,0.2808986362,0.5794923415,0.4545995891
7,0.6079801058,0.1266182521,0.4206947556,0.6496156552,0.8815936663,0.026404392,0.1467119302,0.6831857266,0.9911231156,0.3978179682
8,0.5933545579,0.4170882739,0.2968230648,0.6451860501,0.029427483,0.9883501069,0.883058717,0.2943527526,0.3417090948,0.8824549033
9,0.1811830606,0.9920145907,0.878320992,0.2622757633,0.4151244781,0.1300141702,0.1025178684,0.0835176697,0.0049855937,0.1272054706
10,0.7267660853,0.6784936672,0.7333960137,0.2764292706,0.1989050445,0.9610090996,0.3481942986,0.1727390881,0.2855963409,0.5769088757
