"","X1","X2"
"1",7,1
"2",29,1
"3",41,1
"4",45,1
"5",74,1
"6",86,1
"7",10,2
"8",23,2
"9",28,2
"10",31,2
"11",32,2
"12",38,2
"13",49,2
"14",51,2
"15",65,2
"16",70,2
"17",73,2
"18",85,2
"19",87,2
"20",99,2
"21",7,3
"22",18,3
"23",27,3
"24",42,3
"25",65,3
"26",70,3
"27",88,3
"28",99,3
"29",3,4
"30",18,4
"31",37,4
"32",46,4
"33",51,4
"34",75,4
"35",82,4
"36",92,4
"37",96,4
"38",2,5
"39",14,5
"40",36,5
"41",45,5
"42",48,5
"43",49,5
"44",66,5
"45",68,5
"46",80,5
"47",19,6
"48",22,6
"49",29,6
"50",33,6
"51",35,6
"52",63,6
"53",66,6
"54",75,6
"55",79,6
"56",92,6
"57",3,7
"58",10,7
"59",18,7
"60",21,7
"61",28,7
"62",33,7
"63",38,7
"64",61,7
"65",62,7
"66",76,7
"67",88,7
"68",93,7
"69",97,7
"70",100,7
"71",8,100
"72",16,8
"73",17,8
"74",23,8
"75",30,8
"76",34,8
"77",44,8
"78",49,8
"79",51,8
"80",57,8
"81",75,8
"82",82,8
"83",83,8
"84",98,8
"85",12,9
"86",13,9
"87",15,9
"88",19,9
"89",24,9
"90",39,9
"91",40,9
"92",45,9
"93",47,9
"94",48,9
"95",69,9
"96",95,9
"97",97,9
"98",7,10
"99",14,10
"100",27,10
"101",35,10
"102",36,10
"103",40,10
"104",46,10
"105",50,10
"106",76,10
"107",92,10
"108",100,10
"109",5,11
"110",23,11
"111",41,11
"112",52,11
"113",53,11
"114",63,11
"115",11,12
"116",13,12
"117",15,12
"118",19,12
"119",25,12
"120",30,12
"121",34,12
"122",55,12
"123",59,12
"124",61,12
"125",63,12
"126",71,12
"127",72,12
"128",73,12
"129",77,12
"130",97,12
"131",3,13
"132",5,13
"133",18,13
"134",46,13
"135",53,13
"136",63,13
"137",84,13
"138",89,13
"139",92,13
"140",95,13
"141",97,13
"142",6,14
"143",7,14
"144",14,100
"145",27,14
"146",45,14
"147",63,14
"148",70,14
"149",71,14
"150",25,15
"151",26,15
"152",29,15
"153",30,15
"154",44,15
"155",45,15
"156",47,15
"157",69,15
"158",81,15
"159",90,15
"160",13,16
"161",19,16
"162",22,16
"163",30,16
"164",39,16
"165",40,16
"166",45,16
"167",51,16
"168",68,16
"169",72,16
"170",77,16
"171",81,16
"172",28,17
"173",29,17
"174",30,17
"175",34,17
"176",38,17
"177",74,17
"178",78,17
"179",79,17
"180",85,17
"181",88,17
"182",89,17
"183",94,17
"184",95,17
"185",97,17
"186",15,18
"187",22,18
"188",44,18
"189",60,18
"190",70,18
"191",71,18
"192",77,18
"193",4,19
"194",24,19
"195",42,19
"196",49,19
"197",50,19
"198",83,19
"199",91,19
"200",96,19
"201",26,20
"202",39,20
"203",43,20
"204",53,20
"205",58,20
"206",63,20
"207",73,20
"208",79,20
"209",82,20
"210",84,20
"211",89,20
"212",17,21
"213",42,21
"214",77,21
"215",98,21
"216",15,22
"217",44,22
